Date,GDP_USA,GDP_GBR,GDP_AUS,GDP_CHL,GDP_IDN
1820,20760480,68835599,314294,553578,16349424
1821,21761787,69889893,314450,553878,16647996
1822,23069046,70975832,321433,584268,16767920
1823,23511797,72853398,332619,574896,16925217
1824,24865785,76721568,354244,578825,16213750
1825,26150908,78376194,372294,642816,16815600
1826,27076560,74185096,376200,681564,17972406
1827,27920029,79833250,385072,712352,18255156
1828,28672099,79939080,392504,733656,18081376
1829,28444824,80483625,414346,768416,17729334
1830,31299360,84027859,508860,777790,17642538
1831,34270431,84929108,530469,798660,17534055
1832,36602800,87430728,550602,839838,17679614
1833,39008736,88002673,570615,861464,18464850
1834,38212230,89917386,608526,899850,19202112
1835,40788440,96361272,744998,937125,18733208
1836,42517347,99285615,750515,945445,18499456
1837,42270994,98210976,799339,1000155,19581666
1838,42987281,101876355,821396,1024437,19682476
1839,46213453,100794298,795925,1033828,19467584
1840,45057852,105375300,1048320,1112502,20560716
1841,45663624,103101272,953792,1133226,20602848
1842,46798169,101852318,903030,1163750,20796302
1843,49103613,106550103,1062944,1208064,20534748
1844,53404650,115668955,1233438,1237954,20049288
1845,55932184,120600040,1300702,1287828,19003652
1846,57915702,120156000,1470055,1343636,18561215
1847,61180416,116745936,1744106,1380509,18446722
1848,64509256,118372508,2072914,1459773,19277800
1849,64581300,118932144,2192832,1568952,18731736
1850,66613500,115464888,2171345,1660980,18312669
1851,71750700,118288550,2708724,1740876,19059260
1852,77938559,122789660,3546450,1784592,18550968
1853,86318100,126485216,4347855,1763580,19455312
1854,88979420,132125044,4247843,1821963,18838197
1855,89690796,128957232,4467735,1904276,20005836
1856,94308175,137511870,5906490,1936908,21615482
1857,94920880,138703306,5657464,2015468,20944264
1858,98044128,135970848,5154890,2122560,22597224
1859,103456032,141379780,6891252,2222240,22884632
1860,109048575,144093344,6973434,2298824,23252658
1861,109602012,143484528,6970934,2316251,23677916
1862,115931844,137361472,6878214,2322110,22369392
1863,126529465,150046320,7104152,2424864,22734768
1864,133870368,153775826,7865195,2573580,22701113
1865,129963817,157335381,7818044,2682616,23591520
1866,131954151,162033675,8312094,2788002,24334101
1867,139406476,162612468,9302256,2694912,25426310
1868,144354770,170449470,9749500,2816190,24872320
1869,151435325,171976675,9836750,3088895,24788397
1870,150340376,179482400,10555925,3168405,29206756
1871,157199850,180097540,10038275,3161975,29529724
1872,163614088,180311218,11117232,3339990,30524858
1873,171832520,184342033,12289243,3597342,30222976
1874,170746744,187205760,12693874,3523872,30082927
1875,179667895,191582726,14088732,3752700,31521392
1876,181815336,193323600,14045049,3694756,31631600
1877,187690950,195009408,14629335,3602560,32444412
1878,195575928,195584048,16023802,3743194,33732921
1879,219632400,194640896,16250280,4316985,33898964
1880,245528628,203548617,17105842,4772512,41524841
1881,254265102,210553245,18365286,4986660,44185016
1882,270490727,216411282,17330588,5475519,43220440
1883,277094722,217733900,19896557,5534100,42652918
1884,282089030,217880676,19985364,5656800,46407580
1885,284224363,216522180,21292750,5405914,46857141
1886,292797576,219693650,21560706,5654010,46573956
1887,305978856,228188530,23856525,6074781,47108400
1888,304570980,238140617,23992556,5791716,47173575
1889,323475456,250691254,26061728,6077426,47197700
1890,328157568,251561835,25163593,6611280,45963288
1891,342378988,251307696,27095688,7001307,47262070
1892,375557634,245049084,23765966,7016360,49205576
1893,357399996,244796400,22461158,7295257,50811300
1894,347091624,261054762,23225195,7133808,51517378
1895,389000219,269016839,21922560,8020606,51593680
1896,381138316,279964930,23586485,8301828,51938322
1897,417505431,283427856,22283404,7988400,52504935
1898,426159056,296961874,25748940,9091683,52680474
1899,464888381,308977794,25748416,8839252,55401894
1900,477596532,306440130,27279372,8737927,57141700
1901,531351936,306135060,26466330,8919126,56285125
1902,536892564,313610998,26738250,9517118,55087760
1903,562979430,309958902,28853776,9038685,58236552
1904,555866415,311529021,30790638,9858000,58954903
1905,596938818,320466336,31151120,9489536,59686545
1906,665746740,330887791,33263718,10144056,61245900
1907,676003860,336862374,34613149,10656976,62736360
1908,620713350,322811184,35787819,11373464,62639892
1909,696599460,329893200,38711622,11562000,65660868
1910,703730462,339879372,41409375,12972787,69647328
1911,726638374,349514228,41728500,13104078,72911846
1912,760647444,354322800,43174843,14219264,74052594
1913,790706206,367565748,45167949,14468527,77352226
1914,729769670,367148677,45053089,12318500,77275618
1915,750395394,392546140,44222016,11663916,78249836
1916,853920488,396857448,43916165,14242600,78869200
1917,832612340,396032544,43089750,14472168,79006752
1918,907676784,394117650,42067520,14583242,80649360
1919,915611113,346957504,44488431,12358080,88026246
1920,906885285,322175301,46389564,13793715,85294143
1921,886313176,293519520,48723042,12249250,85403136
1922,935357544,321563884,51280800,12699159,87759420
1923,1058685540,331749644,53739801,15216576,89477178
1924,1091164950,345441265,57276417,16322139,94047096
1925,1116442684,362319419,59958927,16975720,95806480
1926,1189177130,348964880,61391936,16506525,101442075
1927,1200995100,377046423,62325536,16177084,107815812
1928,1214548840,381624594,62441120,20248740,111824000
1929,1288829035,392824872,61158552,20812506,114410625
1930,1173609320,390044464,55335826,18139032,115946180
1931,1104746912,370020294,51628570,14746128,108653184
1932,943905900,372857745,54553068,11323773,104361166
1933,917328600,383696960,58339538,14112315,105381958
1934,1000078728,408980824,61427626,16927656,107030796
1935,1131552150,424811552,65037852,18190125,109951864
1936,1250521958,444115073,67972443,18814588,116903093
1937,1352898800,459554502,71413199,21229637,130915907
1938,1278273372,465156236,73838280,21557250,130315332
1939,1375766401,469735908,74038991,22099728,131589915
1940,1499726559,516789816,78891526,22827840,144586944
1941,1720094168,563837904,87699963,22865289,150495708
1942,1919096550,577847600,97811028,23621248,0
1943,2112890624,590493267,101267820,24295964,0
1944,2278705737,567311184,97765184,24754807,0
1945,2246460208,542379096,92857563,26893888,0
1946,2054013740,518894831,89553468,29196272,0
1947,2033879216,511135118,91754424,26057003,0
1948,2143128477,527297602,97664185,30380700,0
1949,2113554240,546941752,104119012,29725620,103509120
1950,2320762311,543677442,111323422,31234648,116482920
1951,2497562628,559928860,116090040,32722968,125156862
1952,2590643979,558915690,117128607,34772856,131071678
1953,2709832728,580858233,120787688,37263327,137608699
1954,2692048338,604560385,128291856,35962668,146201352
1955,2882221470,626533908,135305045,37288790,150192072
1956,2938574394,634272128,139968732,37751720,152149568
