Year,Poverty,Percent
2018,38146,11.8
2017,39698,12.3
2016,40616,12.7
2015,43123,13.5
2014,46657,14.8
2012,46496,15.0
2011,46247,15.0
2010,46343,15.1
2009,43569,14.3
2008,39829,13.2
2007,37276,12.5
2006,36460,12.3
2005,36950,12.6
2004,37040,12.7
2003,35861,12.5
2002,34570,12.1
2001,32907,11.7
2000,31581,11.3
1999,32791,11.9
1998,34476,12.7
1997,35574,13.3
1996,36529,13.7
1995,36425,13.8
1994,38059,14.5
1993,39265,15.1
1992,38014,14.8
1991,35708,14.2
1990,33585,13.5
1989,31528,12.8
1988,31745,13.0
1987,32221,13.4
1986,32370,13.6
1985,33064,14.0
1984,33700,14.4
1983,35303,15.2
1982,34398,15.0
1981,31822,14.0
