"","Country","Country Code","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","Afghanistan","AFG",3.40336025006512,3.27509006690685,4.53556806550665,4.24035874439462,6.29099307159353,3.61880934051835,2.98806774441878,4.52149364814577,4.2549724111382,6.61006289308176,28.0656490693196,14.8793041506101,12.1164586282332,12.1258209916291,12.1823004269634
"2","Albania","ALB",97.1851211072664,98.9325259515571,100.598615916955,111.596654275093,85.0924657534247,87.1678200692042,75.8770491803279,89.3858784893268,97.3226837060703,97.1366559485531,92.7717691244318,88.1709625356285,88.3858040707952,107.831254406965,126.138482602815
"3","Algeria","DZA",9.6415794355373,6.00117259857084,25.0951554784466,7.42990280921315,13.2626506024096,14.9615745079663,8.5767125116838,13.9866542105966,19.4814716075713,17.4850706478272,19.4001610062945,19.6636707477708,24.6374505461116,23.3684976182703,22.3152731748937
"4","American Samoa","ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andorra","AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Angola","AGO",1.65903225806452,1.78878787878788,4.50151515151515,2.26060606060606,3.66,3.305,8.25882352941177,5.47225,8.43,11.983829787234,8.87604897357048,9.26395727040816,9.27163255341199,8.05261409837373,7.98274294483418
"7","Antigua and Barbuda","ATG",13,27.25,7.5,6,4.5,0.5,3.5,13.25,3,3.25,9.8475000858307,12.5299998521805,7.95000022649765,5.47500020265579,13.8700002431869
"8","Arab World","ARB",92.0695540628122,104.845731033878,94.5164044689594,110.660246321215,86.5768018553092,91.956988606727,101.308243273672,82.4541032124656,92.2107546607982,104.899455686092,64.0956893333179,62.3970497354039,68.1607107646733,73.2578600403896,68.3591252435491
"9","Argentina","ARG",30.2339386978681,41.8467062945596,45.3091145410236,36.4023102059427,41.4112583921501,49.2567178107759,35.214968378662,22.9847777907384,39.1808009267792,41.7174131662412,34.5264375911858,35.9713594800877,35.4879081632653,27.6402730389031,50.3363313137755
"10","Armenia","ARM",34.5230769230769,22.9978021978022,31.6505494505495,22.6923076923077,27.8449992712572,15.3328907463293,18.150533105644,29.6662220317496,24.2028985507246,27.3686546436108,41.5845900792961,46.6896679684867,43.78565516978,52.9544854280106,110.495136158374
"11","Aruba","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Australia","AUS",47.5700328458754,46.2096088435374,50.9394047294891,44.8544593336302,43.4601278423976,46.8146805618487,42.6044248391278,36.2504384426517,46.3164818643112,45.2787449137967,46.6197227941333,49.2000043272247,54.1858508848521,53.5625677492087,68.103696143155
"13","Austria","AUT",234.023826714801,297.138461696318,131.342705420707,135.715945988813,130.699249478506,110.266715116279,110.045288531775,83.4062652102192,108.48731097138,103.389233983636,125.451998422842,135.610456229558,144.555749839747,144.709162419537,141.837426373666
"14","Azerbaijan","AZE",10.4337884344079,7.64209953766658,11.9747925162746,13.3604604233757,13.3389449566525,10.6375404530744,20.9375341481241,13.4114194236926,9.95488575077712,15.5745880895571,19.0765023278179,19.962452585452,31.7520377790034,20.3780260076486,14.0928462278014
"15","Bahamas, The","BHS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.097496032715,134.552501678467,152.591251373291,189.880004882813,144.017499923706
"16","Bahrain","BHR",8964.5,103.529408860784,0,2906.66666666667,9436.55141381388,798.57144217102,1993.33325412538,947.794107677721,1721.24997435137,1178.12498244457,1553.12497685663,1606.24997606501,1318.74998034909,1318.74998034909,1318.74998034909
"17","Bangladesh","BGD",188.639161517024,160.266893534273,170.671374186418,197.748704335735,193.190101522843,184.411079836233,200.064077918749,188.852873268343,212.963932742909,255.76452201094,260.443285528031,254.600156290701,279.220237319077,298.966396533185,289.402271616143
"18","Barbados","BRB",45.8571428571429,79.7142857142857,214.230769230769,109.076923076923,139,133.615384615385,135.153846153846,77,135.083333333333,96.2727272727273,199.522006225586,133.568418502808,80.0111083984376,123.277498245239,113.80428641183
"19","Belarus","BLR",135.986467236467,135.625785598851,146.917808219178,167.70119090581,231.967509025271,218.354774415655,237.418419144307,281.114718614719,270.460704607046,303.888587448001,271.386091995654,256.342959140424,215.224559612507,194.186602839951,146.618640458224
"20","Belgium","BEL",327.891826923077,313.837125748503,339.855952380952,329.143534994069,316.452494061758,355.184743742551,242.890995260664,300,344.124700239808,338.181818181818,348.692403486924,340.310049019608,322.481028151775,323.850512356841,318.484803654923
"21","Belize","BLZ",367.728571428571,382.371428571429,78.6571428571429,81,89.2571428571429,60.8714285714286,49.7571428571429,121.438356164384,58.0133333333333,234.706666666667,140.070514385517,389.110263922276,374.217704577324,431.672939202724,466.248860677083
"22","Benin","BEN",16.3666666666667,0.802264150943396,0.0527272727272727,0.454074074074074,0.0132,0.2456,0.308076923076923,6.67755102040816,8.99015748031496,4.30232558139535,9.90929253472222,5.0022779224537,15.535462962963,11.2903443287037,14.747607421875
"23","Bermuda","BMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.066657262379,307.666651897961,285.333323266771,177.099990165234
"24","Bhutan","BTN",9.75675675675676,9.89189189189189,7.39873417721519,7.55688622754491,7.62062112851096,9.00953758257573,11.66,23.96,10.0397615836925,13.0538926131469,10.6880239212744,12.1550903672115,14.2006987672817,14.7605789324848,13.2532998657227
"25","Bolivia","BOL",4.04272727272727,3.67558338076266,5.06426376082705,6.47293746715712,3.96363636363636,5.88731719012227,4.70886075949367,5.15536596317916,7.25552711193856,8.01705855232826,7.9525575469598,9.71964713281597,8.9968656603922,9.15580256503655,7.60947450937219
"26","Bosnia and Herzegovina","BIH",32.6980942828485,17.6568338249754,58.442607003891,24.6370731707317,15.4839337877313,21.3003913894325,11.8710317460317,72.7121364092277,81.5298804780876,103.378109452736,120.74397997414,101.635321171952,120.034287439426,128.914567980981,131.800031219542
"27","Botswana","BWA",NA,NA,NA,NA,NA,NA,NA,48.6044303797468,83.1274131274131,29.679012345679,54.8350877192982,81.3898916967509,58.2781954887218,89.5724170003595,89.5724170003595
"28","Brazil","BRA",120.840839620187,152.305241823189,150.94595108815,120.100351374409,124.031867468147,165.169737380827,141.838604982206,118.256743327655,156.189872518227,183.014804975579,177.579045408845,173.934941768062,173.054797733529,160.66217658533,186.096114898241
"29","British Virgin Islands","VGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Brunei Darussalam","BRN",336,102,151.5,308.5,66,377,112.666666666667,103,431.75,117.5,113.5,44.6,141.8,141.8,141.8
